Adding 0.5:
4503599627370497.000	4503599627370498.000	1.000

(x+y)+z:	1.000
x+(y+z):	0.000

Possible bug! f=1513.000000, bad_round=1514.000, slow_round=1513.000
Possible bug! f=1515.000000, bad_round=1516.000, slow_round=1515.000
Possible bug! f=1517.000000, bad_round=1518.000, slow_round=1517.000
Possible bug! f=1519.000000, bad_round=1520.000, slow_round=1519.000
Possible bug! f=1521.000000, bad_round=1522.000, slow_round=1521.000
Possible bug! f=1523.000000, bad_round=1524.000, slow_round=1523.000
Possible bug! f=1525.000000, bad_round=1526.000, slow_round=1525.000
Possible bug! f=1527.000000, bad_round=1528.000, slow_round=1527.000
Possible bug! f=1529.000000, bad_round=1530.000, slow_round=1529.000
Possible bug! f=1531.000000, bad_round=1532.000, slow_round=1531.000
Possible bug! f=1533.000000, bad_round=1534.000, slow_round=1533.000
Possible bug! f=1535.000000, bad_round=1536.000, slow_round=1535.000
Possible bug! f=1537.000000, bad_round=1538.000, slow_round=1537.000
Possible bug! f=1539.000000, bad_round=1540.000, slow_round=1539.000
Possible bug! f=1541.000000, bad_round=1542.000, slow_round=1541.000
Possible bug! f=1543.000000, bad_round=1544.000, slow_round=1543.000
Possible bug! f=1545.000000, bad_round=1546.000, slow_round=1545.000
Possible bug! f=1547.000000, bad_round=1548.000, slow_round=1547.000
Possible bug! f=1549.000000, bad_round=1550.000, slow_round=1549.000
Possible bug! f=1551.000000, bad_round=1552.000, slow_round=1551.000
Possible bug! f=1553.000000, bad_round=1554.000, slow_round=1553.000
Possible bug! f=1555.000000, bad_round=1556.000, slow_round=1555.000
Possible bug! f=1557.000000, bad_round=1558.000, slow_round=1557.000
Possible bug! f=1559.000000, bad_round=1560.000, slow_round=1559.000
Possible bug! f=1561.000000, bad_round=1562.000, slow_round=1561.000
Possible bug! f=1563.000000, bad_round=1564.000, slow_round=1563.000
Possible bug! f=1565.000000, bad_round=1566.000, slow_round=1565.000
Possible bug! f=1567.000000, bad_round=1568.000, slow_round=1567.000
Possible bug! f=1569.000000, bad_round=1570.000, slow_round=1569.000
Possible bug! f=1571.000000, bad_round=1572.000, slow_round=1571.000
Possible bug! f=1573.000000, bad_round=1574.000, slow_round=1573.000
Possible bug! f=1575.000000, bad_round=1576.000, slow_round=1575.000
Possible bug! f=1577.000000, bad_round=1578.000, slow_round=1577.000
Possible bug! f=1579.000000, bad_round=1580.000, slow_round=1579.000
Possible bug! f=1581.000000, bad_round=1582.000, slow_round=1581.000
Possible bug! f=1583.000000, bad_round=1584.000, slow_round=1583.000
Possible bug! f=1585.000000, bad_round=1586.000, slow_round=1585.000
Possible bug! f=1587.000000, bad_round=1588.000, slow_round=1587.000
Possible bug! f=1589.000000, bad_round=1590.000, slow_round=1589.000
Possible bug! f=1591.000000, bad_round=1592.000, slow_round=1591.000
Possible bug! f=1593.000000, bad_round=1594.000, slow_round=1593.000
Possible bug! f=1595.000000, bad_round=1596.000, slow_round=1595.000
Possible bug! f=1597.000000, bad_round=1598.000, slow_round=1597.000
Possible bug! f=1599.000000, bad_round=1600.000, slow_round=1599.000
Possible bug! f=1601.000000, bad_round=1602.000, slow_round=1601.000
Possible bug! f=1603.000000, bad_round=1604.000, slow_round=1603.000
Possible bug! f=1605.000000, bad_round=1606.000, slow_round=1605.000
Possible bug! f=1607.000000, bad_round=1608.000, slow_round=1607.000
Possible bug! f=1609.000000, bad_round=1610.000, slow_round=1609.000
Possible bug! f=1611.000000, bad_round=1612.000, slow_round=1611.000
Possible bug! f=1613.000000, bad_round=1614.000, slow_round=1613.000
Possible bug! f=1615.000000, bad_round=1616.000, slow_round=1615.000
Possible bug! f=1617.000000, bad_round=1618.000, slow_round=1617.000
Possible bug! f=1619.000000, bad_round=1620.000, slow_round=1619.000
Possible bug! f=1621.000000, bad_round=1622.000, slow_round=1621.000
Possible bug! f=1623.000000, bad_round=1624.000, slow_round=1623.000
Possible bug! f=1625.000000, bad_round=1626.000, slow_round=1625.000
Possible bug! f=1627.000000, bad_round=1628.000, slow_round=1627.000
Possible bug! f=1629.000000, bad_round=1630.000, slow_round=1629.000
Possible bug! f=1631.000000, bad_round=1632.000, slow_round=1631.000
Possible bug! f=1633.000000, bad_round=1634.000, slow_round=1633.000
Possible bug! f=1635.000000, bad_round=1636.000, slow_round=1635.000
Possible bug! f=1637.000000, bad_round=1638.000, slow_round=1637.000
Possible bug! f=1639.000000, bad_round=1640.000, slow_round=1639.000
